twitterID,twitterUsername,twitterText
1599901174525730822,barbfvz,"RT @memedepressivos: 🚨 GRAVÍSSIMO: FOI NOTIFICADO MAIS UM CASO DE PASSARO NO QATAR 🚨🚨

PASSARO O PAU NA COREIA KKKKKKKKKKKKKKKKKKKKKKKKKKKK…"
1599901173426753538,joaquinnnnle,"RT @jpeseteiroDT: El personal de limpieza en los estadios de Qatar al enterarse que eliminaron a Japón:
 https://t.co/f7JkvpQO3O"
1599901173271900161,jijicom,"◆両チームたたえ拍手　クロアチアと交流20年―新潟県十日町

記事は⇒https://t.co/Yx14tD5KNa

2002年W杯日韓大会でキャンプ地になって以来、クロアチアと20年にわたる交流がある新潟県十日町市。パブリックビューイングの会場に設置された…

#FIFAWorldCup
#Qatar2022
#サッカー日本代表
#日本代表"
1599901171975852032,GallegodeLugano,"RT @ManicomioQuema: #Quemer@s mundialistas !
#Qatar2022 
#Huracan 
Si viajanste al mundial de Qatar subí acá 👇🏾 tu selfie o tu video , esta…"
1599901171455791112,E39_96,"RT @InvictosSomos: Tite haciendo el baile de pombo de Richarlison en plena Copa del Mundo, JAJA. Momentazo TOP en Qatar 2022. LA FOTO. http…"
1599901171413499904,NoahMelen1,@UTDArrow @Arsenal_Q8T @sportbible Qatar are bad.
1599901171220893696,AmarilloFabroo,"RT @tendenciasposta: ""#Mbappé🏳️‍🌈"":
Porque fue deportado de Qatar junto a Giroud. https://t.co/BxfeqKmfJI"
1599901170369441792,raziqi2020,"RT @2soltansoltan: .4️⃣..Mwenye kunichukia na achimbe kaburi

.Al’Imam Al’Mahdi Nasser Muhammad Al’Yamani
الإمام المهدي ناصرمحمداليماني
19…"
1599901169215643648,Riyad_721,RT @LiL_Feyrin: Maskey on dirait les faux supporters du Qatar MDR https://t.co/ZqcNPuqTfY
1599901169127940096,LetshLS,"RT @ESPNFC: Japan manager Hajime Moriyasu bowed in appreciation to the fans who traveled all the way to Qatar to support their team 🇯🇵

Res…"
